Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Arrow Part Number,Height,Arrow Price/Stock,Manufacturer_Part_Number
1,Unpolarized capacitor,C,C1 C4 C6,0.1e-6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,https://no.mouser.com/datasheet/2/40/AutoMLCC-777028.pdf,581-12065C104J4Z2A,https://no.mouser.com/ProductDetail/AVX/12065C104J4Z2A/?qs=sGAEpiMZZMsh%252B1woXyUXj%2FQOiMy2nwZA1uFt62aVEC4%3D,,,,,
2,Unpolarized capacitor,C,C8 C10 C11 C13 C14 C15 C16 C21 C24,0.1e-9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,9,https://no.mouser.com/datasheet/2/40/C0GNP0_Dielectric-951274.pdf,581-12065A101J,https://no.mouser.com/ProductDetail/AVX/12065A101JAT2A/?qs=tlMrHejcBYt%2F1xIHTgNUGg%3D%3D,,,,,
3,Unpolarized capacitor,C,C9 C12 C20 C22,10e-9,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,https://no.mouser.com/datasheet/2/40/C0GNP0_Dielectric-951274.pdf,581-12063A100KAT2A,https://no.mouser.com/ProductDetail/AVX/12063A100KAT2A?qs=950R68cwx9cPIcLO9UQzzg%3D%3D,,,,,
4,Unpolarized capacitor,C,C2 C5 C7,1e-6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,https://no.mouser.com/datasheet/2/40/AutoMLCC-777028.pdf,581-12065C105K4Z4A,https://no.mouser.com/ProductDetail/AVX/12065C105K4Z4A/?qs=sGAEpiMZZMsh%252B1woXyUXj1pSoZ1QEU9Ispj6bvNVboo%3D,,,,,
5,Unpolarized capacitor,C,C3,330e-12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,https://no.mouser.com/datasheet/2/40/C0GNP0_Dielectric-951274.pdf,581-12063A331JAT2A,https://no.mouser.com/ProductDetail/AVX/12063A331JAT2A/?qs=kij0Oh9KTucgMKPmpaZ7Hw%3D%3D,,,,,
6,Unpolarized capacitor,C,Cin1,10e-6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,https://no.mouser.com/datasheet/2/40/cx5r-776519.pdf,581-12063D106K,https://no.mouser.com/ProductDetail/AVX/12063D106KAT2A/?qs=sGAEpiMZZMsh%252B1woXyUXj4gx9UeZhj6d77bFJTLdVDc%3D,,,,,
7,Unpolarized capacitor,C,Cout1,22e-6,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,https://no.mouser.com/datasheet/2/40/cx5r-776519.pdf,581-12063D226KAT2A,https://no.mouser.com/ProductDetail/AVX/12063D226KAT2A/?qs=sGAEpiMZZMsh%252B1woXyUXj9iSS0gSTgae5X7XU6%2Frf%2FY%3D,,,,,
8,Unpolarized capacitor,C,Css1,430e-12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,https://no.mouser.com/datasheet/2/40/C0GNP0_Dielectric-951274.pdf,581-12061A431JAT2A,https://no.mouser.com/ProductDetail/AVX/12061A431JAT2A/?qs=qZldoFu4T49PimX7G9pSCA%3D%3D,,,,,
9,"20V 0.5A Schottky Power Rectifier Diode, SOD-123",MBR0520LT,D3,MBR0520LT,D_SOD-123,1,http://www.onsemi.com/pub_link/Collateral/MBR0520LT1-D.PDF,863-MBR0520LT1G,https://no.mouser.com/ProductDetail/ON-Semiconductor/MBR0520LT1G/?qs=3JMERSakebqBWTiPUQp0nw%3D%3D,,,,,
10,"Nexperia PESD15VL2BT,215, Dual Bi-Directional ESD Protection Diode, 200W, 3-Pin SOT-23","PESD15VL2BT,215",D1,"PESD15VL2BT,215",SOT95P230X110-3N,1,http://uk.rs-online.com/web/p/products/1242372,771-PESD15VL2BT-T/R,https://www.mouser.co.uk/ProductDetail/Nexperia/PESD15VL2BT215?qs=LOCUfHb8d9vyDy2ag0hbbA%3D%3D,Nexperia,"PESD15VL2BT,215",1.1,https://www.arrow.com/en/products/pesd15vl2bt215/nexperia,"PESD15VL2BT,215"
11,,MMZ1608B102CTA00-SamacSys_Parts2,FB1,MMZ1608B102CTA00,BEADC1608X95N,1,https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_signal_mmz1608_en.pdf,810-MMZ1608B102CTA00,https://www.mouser.co.uk/ProductDetail/TDK/MMZ1608B102CTA00?qs=XCwcpc%2FLnas8CYC6iNc7Bw%3D%3D,TDK,MMZ1608B102CTA00,0.95,https://www.arrow.com/en/products/mmz1608b102cta00/tdk,MMZ1608B102CTA00
12,"+/-250 mV-Input, Low-Cost Basic Isolated Amplifier for Current Sensing",AMC1100DUBR,IC1,AMC1100DUBR,SOP254P1040X485-8N,1,http://www.ti.com/lit/gpn/amc1100,595-AMC1100DUBR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/AMC1100DUBR?qs=2UFnnMkojnWfS8LYivgqyg%3D%3D,Texas Instruments,AMC1100DUBR,4.85,https://www.arrow.com/en/products/amc1100dubr/texas-instruments,AMC1100DUBR
13,Supervisory Circuits Volt Det CMOS 3.3V SSOP3,BD49K33G-TL,IC3,BD49K33G-TL,SOT95P280X125-3N,1,https://www.rohm.com/datasheet/BD49K33G/bd48xxg-e,755-BD49K33G-TL,https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD49K33G-TL?qs=WHeKGGBt0W8tXEy9iLpBWg%3D%3D,ROHM Semiconductor,,1.25,,BD49K33G-TL
14,"MICROCHIP - MIC5225-3.3YM5-TR - LDO, REG, 16VIN, 0.15A, 3.3V, 2%, 5SOT23",MIC5225-3.3YM5-TR,IC2,MIC5225-3.3YM5-TR,SOT95P280X145-5N,1,http://www.farnell.com/datasheets/1580469.pdf,998-MIC5225-3.3YM5TR,https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Micrel/MIC5225-33YM5-TR?qs=U6T8BxXiZAXmYJ5yRdN5%2Fg%3D%3D,Microchip,MIC5225-3.3YM5-TR,1.45,https://www.arrow.com/en/products/mic5225-3.3ym5-tr/microchip-technology,MIC5225-3.3YM5-TR
15,,SN6501DBVT-SamacSys_Parts2,IC4,SN6501DBVT,SOT95P280X145-5N,1,http://www.ti.com/lit/gpn/sn6501,595-SN6501DBVT,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN6501DBVT?qs=X2y4EmDJZOW%252Bp7Is%2FLCLhQ%3D%3D,Texas Instruments,SN6501DBVT,1.45,https://www.arrow.com/en/products/sn6501dbvt/texas-instruments,SN6501DBVT
16,,1725656-SamacSys_Parts2,J1 J2 J3 J4,1725656,1725656,4,https://www.phoenixcontact.com/online/portal/gb?uri=pxc-oc-itemdetail:pid=1725656&library=gben&tab=1,651-1725656,https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1725656/?qs=Ul7CXFMnlWWQeccayYbRmw%3D%3D,Phoenix Contact,1725656,8,https://www.arrow.com/en/products/1725656/phoenix-contact,1725656
17,,44428-0601-SamacSys_Parts2,J6,44428-0601,444280601,1,https://www.mouser.com/datasheet/2/276/0444280601_PCB_HEADERS-169149.pdf,538-44428-0601,https://www.mouser.co.uk/ProductDetail/Molex/44428-0601/?qs=PyLLyR1ySS1boyFo%2FXH81A%3D%3D,Molex,,11.9,,44428-0601
18,Standard LEDs - SMD 1206 Dome Lens LED Green- 570nm,APTD3216LCGCK,LED2,APTD3216LCGCK,LEDC3216X200N,1,http://www.kingbrightusa.com/images/catalog/SPEC/APTD3216LCGCK.pdf,604-APTD3216LCGCK,https://www.mouser.co.uk/ProductDetail/Kingbright/APTD3216LCGCK?qs=AQlKX63v8RtGnV9yf7Jmfg%3D%3D,Kingbright,APTD3216LCGCK,2,https://www.arrow.com/en/products/aptd3216lcgck/kingbright,APTD3216LCGCK
19,,LG_L29K-G2J1-24-Z-SamacSys_Parts2,LED1,LG_L29K-G2J1-24-Z,LEDM178X67N,1,https://dammedia.osram.info/media/resource/hires/osram-dam-2493945/LG%20L29K.pdf,720-LGL29KG2J124Z,https://www.mouser.co.uk/ProductDetail/OSRAM-Opto-Semiconductors/LG-L29K-G2J1-24-Z/?qs=nTDll3UaDK6NQ6lyL9BooQ%3D%3D,OSRAM,LG L29K-G2J1-24-Z,0.67,https://www.arrow.com/en/products/lgl29k-g2j1-24-z/osram-opto-semiconductors,LG L29K-G2J1-24-Z
20,,TPS82130SILT-SamacSys_Parts2,PS1,TPS82130SILT,TPS82130SILT,1,http://www.ti.com/lit/gpn/tps82130,595-TPS82130SILT,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS82130SILT/?qs=diC8vqfyxkr0HeHAfBUGmQ%3D%3D,Texas Instruments,TPS82130SILT,1,https://www.arrow.com/en/products/tps82130silt/texas-instruments,TPS82130SILT
21,Resistor,R,R7,3.16,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,https://no.mouser.com/datasheet/2/427/dcrcwe3-1762152.pdf,71-CRCW12063R16FKEA,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW12063R16FKEA/?qs=loJnjVZBdda3UBuG0TUqAA%3D%3D,,,,,
22,Resistor,R,R3 R4,12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,https://no.mouser.com/datasheet/2/427/dcrcwife3-1761849.pdf,71-CRCW120612R0JNAIF,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW120612R0JNEAIF/?qs=sGAEpiMZZMtlubZbdhIBIE5SSkTEu4RqrRKacJLXFoo%3D,,,,,
23,Resistor,R,R2,1000,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,https://no.mouser.com/datasheet/2/427/crcwce3-1762584.pdf,71-CRCW12061K00FKEAC,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW12061K00FKEAC/?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWbotjIK%252BT38M%3D,,,,,
24,Resistor,R,R1,239e3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,https://no.mouser.com/datasheet/2/427/dcrcwe3-1762152.pdf,71-CRCW1206-294K-E3,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW1206294KFKEA/?qs=sGAEpiMZZMtlubZbdhIBIFSm0Talg2z8YyWSTJgimdU%3D,,,,,
25,Resistor,R,Rfbb1 Rfbb2 Rpg1,100e3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3,https://no.mouser.com/datasheet/2/427/crcwce3-1762584.pdf,71-CRCW1206100KFKEAC,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW1206100KFKEAC/?qs=sGAEpiMZZMtlubZbdhIBIIZe04wfiaJWgAsLyswGVeo%3D,,,,,
26,Resistor,R,Rfbt1,523e3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,https://no.mouser.com/datasheet/2/427/dcrcwe3-1762152.pdf,71-CRCW1206-523K-E3,https://no.mouser.com/ProductDetail/Vishay-Dale/CRCW1206523KFKEA/?qs=sGAEpiMZZMtlubZbdhIBIKi5rZsMV9yk6wxiiVac%2FA0%3D,,,,,
27,,760390015-SamacSys_Parts2,T1,760390015,760390015,1,https://katalog.we-online.com/ctm/datasheet/760390015.pdf,710-760390015,https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik-Midcom/760390015?qs=wElim4iM2pjOQCmk%252B8YbFA%3D%3D,Wurth Elektronik / Midcom,,,,760390015
28,"Â±50A Bidirectional Hall-Effect Current Sensor, +5.0V supply, 40mV/A, CB-5 PFF",ACS758xCB-050B-PFF,U1,ACS758xCB-050B-PFF,Allegro_CB_PFF,1,http://www.allegromicro.com/~/media/Files/Datasheets/ACS758-Datasheet.ashx?la=en,,,,,,,
29,,TLV70450DBVR-SamacSys_Parts2,U2,TLV70450DBVR,SOT95P280X145-5N,1,http://www.ti.com/lit/gpn/tlv704,595-TLV70450DBVR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV70450DBVR?qs=O1HRStiETCjnnzW1gs5MfA%3D%3D,Texas Instruments,TLV70450DBVR,1.45,https://www.arrow.com/en/products/tlv70450dbvr/texas-instruments,TLV70450DBVR
30,,DFLZ6V2-7-SamacSys_Parts2,Z1,DFLZ6V2-7,DFLZ6V87,1,https://www.diodes.com/assets/Datasheets/ds30464.pdf,621-DFLZ6V2-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DFLZ6V2-7/?qs=mQbszxtPdlMwrqI91DAGTw%3D%3D,Diodes Inc.,DFLZ6V2-7,1,https://www.arrow.com/en/products/dflz6v2-7/diodes-incorporated,DFLZ6V2-7





Component Groups:,30
Component Count:,51
Fitted Components:,51
Number of PCBs:,1
Total components:,51
Schematic Version:,1
Schematic Date:,01.03.21
PCB Variant:,udefault
BoM Date:,01.03.2021 18:42:10
Schematic Source:,MeasCard.sch
KiCad Version:,Eeschema (5.1.8)-1
